"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","gdem_y_a","gdem_y_nom_a","cons_y_nom_a","inv_y_nom_a","exp_y_nom_a","imp_y_nom_a","tb_rat_a","dl_md_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","","","","","","","","","","",""
"2013Y",4.7726874769753849,4.2883466717331178,1.7337939089102754,27.6023487807127097,19.4347970141313837,9.1343451419608819,4.4435638320493354,4.2245366827520723,3.6011919080387820,5.9215608451726132,5.3328412723315397,0.6559772084191895,8.6016718868572291,0.2323406059597346,0.1988310929729114,20.1704183481255477,78.4259442357128762,17.1046459192266411,13.5060312438204466,29.2070397468855063,-15.6613011996181335,16.2683861556884040,,,
"2014Y",6.1597839269212082,6.4330846105595860,36.6542463422460045,-12.4586090918011401,7.9454589712521395,15.2050400589080255,1.0781113621517013,1.7950784285887145,2.5210433124152640,3.8456143416551791,5.4232329059481108,5.5463848944837846,13.1819386376202026,5.7220351474153688,0.2464150615943753,24.3718177651691015,78.6590787835674945,13.1348512727110371,13.8538146896674377,30.0195625111150619,-16.1906057587522447,19.3565180995146875,108.3583267981763782,21.2082617737519641,5.8813199257921314
"2015Y",8.8422948082779236,12.1243937958299135,7.4914420488788576,27.6038118258599994,6.4875962781806908,23.0847012592222001,4.0522062163079964,2.5020278295251108,2.1941433460009492,7.2266725059390913,5.6399518176556640,-6.0923251416938768,10.6600885369079279,4.1352789223293414,0.2415951321580248,23.5941813057544287,80.6666666666666572,14.5033796698553239,13.2357723577235777,31.9837398373983746,-18.7645897445233132,18.3465982931336384,121.0856398855633813,23.6814162422705614,6.5899937291202848
"2016Y",6.0721047130096464,4.3099179112237538,-2.4505551854832026,29.8031557908853912,12.8392748954263283,7.6954028384607556,7.0238375079632709,5.7079781356635664,7.5707639315814887,10.0009452781736350,9.4129385035646997,-0.6699793852265796,8.4369366466071547,4.1570088709749315,0.2215409013278331,22.7482001090878541,77.6657902424773567,18.2100236712218155,15.4396728016359930,34.0490797546012232,-18.6276732515475274,5.8624192883493151,140.2789244232411079,28.2144569732596615,6.8552741325506190
"2017Y",3.9512049585310516,-0.8107053258895187,5.8804148380800809,-5.3967042452811063,42.4654311692442050,5.8135308822354350,2.1634185289937991,4.8917662427287008,4.2398310542363182,3.3041588141664135,5.4505653641456933,1.3054825570066708,9.1470173962335650,5.1571340493519031,0.2248546786639101,22.4868678630220877,73.7881741390513355,16.3565369452950016,20.5198180636777145,33.1513970110461358,-12.6291561493048174,12.8526521692443794,161.6510996385917451,33.5402743638384067,6.8725005458095323
"2018Y",8.5456670597387703,9.8041804703544564,12.9104910063671650,-6.5697591343578186,10.9444213240310795,8.1667483481893850,0.1991133461831662,1.3650556828277149,-1.9046439854835593,3.8466447262184067,3.5597146719154704,8.1379428734450521,9.4478379170954234,4.6410120140249020,0.2336284839773392,23.3494418048861903,76.5485659194986852,13.6715271032844505,21.1135213304410705,34.6710050614605905,-13.5452200903428448,13.4940742308301651,175.7040062826660858,36.7992408351111422,7.1267607355553819
"2019Y",9.4752601712366431,2.1237989783076339,25.1212403663061323,27.6507441925216035,19.4149773217415031,17.9903425451265377,5.9845740625257049,2.4322656659820918,5.8094467062904798,4.9156368490086422,4.5241704747582157,0.2464582839928203,12.0880976029751395,7.9551067355744998,0.2657139599460996,26.5862909264677931,71.5559853857726296,16.1818156714260404,21.8246292714377823,36.1594670105308396,-14.3253153969077740,13.2674088414870539,186.4258692251100058,39.4773489619898967,7.1291183442876065
"2020Y",-3.2860464075416735,1.3664135989399862,12.4962963417885913,-35.1918454566164769,-8.8254404211478423,-2.4891968632741124,5.0521248105717564,7.7397292806333162,5.2819720079229713,5.4168116046602321,4.8778611493343504,-2.7505877851102314,15.2832256397559103,10.2463084871468606,0.3061316393192371,29.9726016412306109,76.6103814884302636,9.9690285443020112,19.3350010423181153,35.8765895351261221,-16.5532331258304239,17.5997370062988239,236.3213255612762680,50.0998373309099989,8.9804940594090734
"2021Y",11.1229968316009789,6.5001112736170654,8.8815954824048085,84.6620250661226521,7.5610057490120957,5.6477996352682487,1.1606912227790867,0.8295762257678585,3.2777056221651186,3.9395715244632479,4.7881671059120663,10.6248316358068600,14.2870500382967620,8.6886560536853423,0.2990130513318480,29.9135552466777632,72.1383475157836926,13.5670925710548733,19.5443315948394165,35.1633269283557510,-15.5797025072858162,16.6259101151761115,283.0244516999869120,50.6381563475180911,20.1179565774786333
"2022Y",8.1624547564107921,12.6649218928799332,0.3599149496062690,11.1298828204474951,30.1387553453983443,18.6493455609963554,21.1336681547154015,13.8610190213251556,19.9142327725796235,5.2542373924613583,4.2967214509722353,-8.1085964154024381,12.5275553195817650,6.6944584449713487,0.2756191372908060,28.3675349243507995,74.0576011666059060,13.7688121409062205,22.4863288370397356,38.6802770689026616,-16.2029238595105092,16.9414404234087215,237.0875523690319540,42.7989186485390007,16.4729694437189877
"2023Y",6.6868710805278893,5.1458321982279180,-8.2424666222952734,17.0690698004332617,6.7422794334785889,-3.3031902093399523,8.8898832326215000,14.3948801691539732,6.0950340016080462,13.0641096292143573,11.4771613508108210,-0.7754119170339968,10.9170557448422780,6.9877803824449867,0.2342284074332201,25.5174074533667259,78.0125663700083436,12.9633373452623299,21.0590009577834145,35.6636879232736703,-14.6008900024490202,12.8571550439794464,,,
"2024Y",12.2928527063459434,10.0421131650787068,21.2307129104058099,8.1845186372600018,13.4858498359689776,10.4716673748545404,2.7960015399455500,4.5774013731103942,2.4475917723755378,4.3485623500567669,7.0876118177612710,4.7331996884511582,11.8631933412678698,6.9301136311180400,0.2526843491509064,27.9976855378259835,77.7798197054325016,12.7074026805000830,22.1947938448461883,36.3512812425019121,-14.1665010830863611,15.1320796400665358,,,
"2025Y",11.7675039505456844,10.2046926040616874,14.2667649764125777,9.7344367713217608,11.4638317712624840,8.9713305148982627,4.3103906841193975,3.5106590810531166,4.5164120515346831,2.6274083079255206,3.0999218406353499,1.4943655136286900,12.3690237555481168,7.3732062736637518,0.2582078501499840,28.8459607107501945,77.3426801124730474,12.5833158870069681,22.3179726193974872,35.5214375563498166,-13.2145509298967703,16.6499823661615665,,,
"2026Y",9.3747436169287610,8.5338571971607600,9.9358689214390061,8.5139363655465345,9.5239706363022023,7.6435008193459062,5.8927746353717936,5.4256618082228130,6.2475107119863278,2.7208300509761898,2.6027594602906952,-0.4632077882046026,12.4990242703235506,7.4992856777057773,0.2595144703583478,28.9931258354255768,76.7559358465196482,12.4857335130374825,21.8964010282291390,34.1517343043045400,-12.2654685050767469,16.8514007396144052,,,
